player_name,team_code,jersey_number,position,height_feet_inches,weight_pounds,college_name,country_name
Gary Payton II,GSW,0.0,G,6-2,195 lbs,Oregon State,USA
Micah Peavy,NOP,14.0,G-F,6-7,215 lbs,Georgetown,USA
Noah Penda,ORL,93.0,G-F,6-7,215 lbs,-,France
Taelon Peter,IND,4.0,G,6-3,185 lbs,Liberty,USA
Drew Peterson,CHA,9.0,F,6-8,205 lbs,Southern California,USA
Julian Phillips,CHI,15.0,F,6-6,198 lbs,Tennessee,USA
Jalen Pickett,DEN,24.0,G,6-2,202 lbs,Penn State,USA
Scotty Pippen Jr.,MEM,1.0,G,6-2,170 lbs,Vanderbilt,USA
Daeqwon Plowden,SAC,29.0,G-F,6-4,216 lbs,Bowling Green,USA
Mason Plumlee,CHA,22.0,F-C,7-0,254 lbs,Duke,USA
Brandin Podziemski,GSW,2.0,G,6-4,205 lbs,Santa Clara,USA
Jakob Poeltl,TOR,19.0,C,7-0,253 lbs,Utah,Austria
Jordan Poole,NOP,3.0,G,6-4,194 lbs,Michigan,USA
Craig Porter Jr.,CLE,9.0,G,6-1,180 lbs,Wichita State,USA
Kevin Porter Jr.,MIL,7.0,G-F,6-5,203 lbs,Southern California,USA
Michael Porter Jr.,BKN,17.0,F,6-10,218 lbs,Missouri,USA
Bobby Portis,MIL,9.0,F,6-9,250 lbs,Arkansas,USA
Kristaps Porziņģis,ATL,8.0,F-C,7-2,240 lbs,Cajasol Sevilla,Latvia
Quinten Post,GSW,21.0,C,7-0,238 lbs,Boston College,Netherlands
Drake Powell,BKN,4.0,G-F,6-5,195 lbs,North Carolina,USA
Dwight Powell,DAL,7.0,F-C,6-10,240 lbs,Stanford,Canada
Norman Powell,MIA,24.0,G,6-3,215 lbs,UCLA,USA
Taurean Prince,MIL,12.0,F,6-6,218 lbs,Baylor,USA
Payton Pritchard,BOS,11.0,G,6-1,195 lbs,Oregon,USA
Tyrese Proctor,CLE,24.0,G,6-4,185 lbs,Duke,Australia
Olivier-Maxence Prosper,MEM,8.0,F,6-7,230 lbs,Marquette,Canada
Derik Queen,NOP,22.0,C,6-9,250 lbs,Maryland,USA
Neemias Queta,BOS,88.0,C,7-0,248 lbs,Utah State,Portugal
Immanuel Quickley,TOR,5.0,G,6-2,190 lbs,Kentucky,USA
Julius Randle,MIN,30.0,F-C,6-9,250 lbs,Kentucky,USA
Maxime Raynaud,SAC,42.0,C,7-1,250 lbs,Stanford,France
Duop Reath,POR,26.0,C,6-9,245 lbs,Louisiana State,South Sudan
Austin Reaves,LAL,15.0,G,6-5,197 lbs,Oklahoma,USA
Paul Reed,DET,7.0,F,6-9,210 lbs,DePaul,USA
Antonio Reeves,CHA,12.0,G,6-5,205 lbs,Kentucky,USA
Naz Reid,MIN,11.0,C-F,6-9,264 lbs,Louisiana State,USA
Will Richard,GSW,3.0,G,6-3,206 lbs,Florida,USA
Nick Richards,PHX,2.0,C,6-11,245 lbs,Kentucky,Jamaica
Jase Richardson,ORL,11.0,G,6-1,180 lbs,Michigan State,USA
Will Riley,WAS,27.0,F,6-9,180 lbs,Illinois-Urbana-Champaign,USA
Zaccharie Risacher,ATL,10.0,F,6-8,200 lbs,JL Bourg-en-Bresse,France
Duncan Robinson,DET,55.0,F,6-7,215 lbs,Michigan,USA
Mitchell Robinson,NYK,23.0,C-F,7-0,240 lbs,Western Kentucky,USA
Orlando Robinson,ORL,21.0,C,6-10,235 lbs,Fresno State,USA
Jeremiah Robinson-Earl,IND,50.0,F,6-9,240 lbs,Villanova,USA
Ryan Rollins,MIL,13.0,G,6-3,180 lbs,Toledo,USA
Jackson Rowe,GSW,44.0,F,6-6,210 lbs,California State-Fullerton,Canada
Terry Rozier,MIA,2.0,G,6-1,190 lbs,Louisville,USA
Rayan Rupert,POR,21.0,G-F,6-7,205 lbs,New Zealand Breakers,France
D'Angelo Russell,DAL,5.0,G,6-3,193 lbs,Ohio State,USA
Domantas Sabonis,SAC,11.0,F-C,6-10,240 lbs,Gonzaga,Lithuania
Tidjane Salaün,CHA,31.0,F,6-10,207 lbs,Cholet,France
Hunter Sallis,PHI,45.0,G,6-4,185 lbs,Wake Forest,USA
Kobe Sanders,LAC,4.0,G,6-8,207 lbs,Nevada,USA
Gui Santos,GSW,15.0,F,6-7,185 lbs,Minas,Brazil
Ben Saraf,BKN,77.0,G,6-6,200 lbs,Ratiopharm Ulm,Israel
Dario Šarić,SAC,9.0,F-C,6-10,225 lbs,Anadolu Efes,Croatia
Alex Sarr,WAS,20.0,C,7-0,205 lbs,Washington Wizards,France
Marcus Sasser,DET,25.0,G,6-1,195 lbs,Houston,USA
Baylor Scheierman,BOS,55.0,G,6-6,205 lbs,Creighton,USA
Dennis Schröder,SAC,17.0,G,6-1,175 lbs,Braunschweig,Germany
Mark Sears,MIL,19.0,G,6-0,185 lbs,Alabama,USA
Alperen Sengun,HOU,28.0,C,6-11,243 lbs,Besiktas,Turkey
Brice Sensabaugh,UTA,28.0,F,6-6,235 lbs,Ohio State,USA
Collin Sexton,CHA,8.0,G,6-3,190 lbs,Alabama,USA
Landry Shamet,NYK,44.0,G,6-5,190 lbs,Wichita State,USA
Terrence Shannon Jr.,MIN,1.0,G-F,6-6,215 lbs,Illinois,USA
Day'Ron Sharpe,BKN,20.0,C,6-10,265 lbs,North Carolina,USA
Shaedon Sharpe,POR,17.0,G,6-5,210 lbs,Kentucky,Canada
Jamal Shead,TOR,23.0,G,6-1,200 lbs,Houston,USA
Ben Sheppard,IND,26.0,G,6-6,190 lbs,Belmont,USA
Reed Sheppard,HOU,15.0,G,6-2,185 lbs,Kentucky,USA
Max Shulga,BOS,29.0,G,6-4,210 lbs,Virginia Commonwealth,Ukraine
Pascal Siakam,IND,43.0,F,6-8,245 lbs,New Mexico State,Cameroon
Anfernee Simons,BOS,4.0,G,6-3,200 lbs,Edgewater HS (FL),USA
KJ Simpson,CHA,25.0,G,6-2,189 lbs,Colorado,USA
Jericho Sims,MIL,0.0,C,6-10,250 lbs,Texas,USA
Javon Small,MEM,10.0,G,6-1,190 lbs,West Virginia,USA
Marcus Smart,LAL,36.0,G,6-3,220 lbs,Oklahoma State,USA
Dru Smith,MIA,12.0,G,6-2,203 lbs,Missouri,USA
Jalen Smith,CHI,25.0,F-C,6-8,215 lbs,Maryland,USA
Tolu Smith,DET,35.0,F,6-11,,Mississippi State,USA
Jabari Smith Jr.,HOU,10.0,F,6-11,220 lbs,Auburn,USA
Nick Smith Jr.,LAL,20.0,G,6-2,185 lbs,Arkansas,USA
Jeremy Sochan,SAS,10.0,F,6-8,230 lbs,Baylor,Poland
Thomas Sorber,OKC,12.0,C,6-9,250 lbs,Georgetown,USA
Cam Spencer,MEM,24.0,G,6-3,205 lbs,Connecticut,USA
Pat Spencer,GSW,61.0,G,6-2,205 lbs,Northwestern,USA
Isaiah Stevens,SAC,,G,5-11,185 lbs,Colorado State,USA
Isaiah Stewart,DET,28.0,F-C,6-8,250 lbs,Washington,USA
Julian Strawther,DEN,3.0,G,6-6,205 lbs,Gonzaga,USA
Max Strus,CLE,1.0,G-F,6-5,215 lbs,DePaul,USA
Jalen Suggs,ORL,4.0,G,6-5,205 lbs,Gonzaga,USA
Jae'Sean Tate,HOU,8.0,F,6-4,230 lbs,Ohio State,USA
Jayson Tatum,BOS,0.0,F-G,6-8,210 lbs,Duke,USA
Jahmyl Telfort,LAC,19.0,G,6-7,,-,Canada
Garrett Temple,TOR,17.0,G-F,6-5,195 lbs,Louisiana State,USA
Dalen Terry,CHI,7.0,F,6-6,195 lbs,Arizona,USA
Adou Thiero,LAL,1.0,G,6-7,220 lbs,Arkansas,USA
Cam Thomas,BKN,24.0,G,6-3,210 lbs,Louisiana State,Japan
Amen Thompson,HOU,1.0,G-F,6-7,200 lbs,Overtime Elite,USA
Ausar Thompson,DET,9.0,G-F,6-7,205 lbs,Overtime Elite,USA
Klay Thompson,DAL,31.0,G,6-5,220 lbs,Washington State,USA
Matisse Thybulle,POR,4.0,G-F,6-5,202 lbs,Washington,USA
Xavier Tillman,BOS,26.0,F,6-8,245 lbs,Michigan State,USA
Nae'Qwan Tomlin,CLE,30.0,F,6-8,210 lbs,Memphis,USA
John Tonje,UTA,17.0,G,6-4,218 lbs,Wisconsin,USA
Alex Toohey,GSW,22.0,F,6-8,223 lbs,Sydney Kings,Australia
Nikola Topić,OKC,44.0,G,6-6,200 lbs,Crvena zvezda,Serbia
Jacob Toppin,ATL,0.0,F,6-9,200 lbs,Kentucky,USA
Obi Toppin,IND,1.0,F,6-9,220 lbs,Dayton,USA
Karl-Anthony Towns,NYK,32.0,C-F,7-0,248 lbs,Kentucky,USA
Nolan Traore,BKN,88.0,G,6-3,185 lbs,Saint-Quentin,France
Luke Travers,CLE,33.0,F,6-6,207 lbs,Rockingham Flames (Aus.),Australia
Gary Trent Jr.,MIL,5.0,G,6-5,204 lbs,Duke,USA
Oscar Tshiebwe,UTA,34.0,F-C,6-8,255 lbs,Kentucky,DRC
Myles Turner,MIL,3.0,C-F,6-11,250 lbs,Texas,USA
Hunter Tyson,DEN,5.0,F,6-8,215 lbs,Clemson,USA
Jaylon Tyson,CLE,20.0,G-F,6-6,215 lbs,California,USA
Jonas Valančiūnas,DEN,17.0,C,6-11,265 lbs,Lietuvos rytas Vilnius,Lithuania
Jarred Vanderbilt,LAL,2.0,F,6-8,214 lbs,Kentucky,USA
Fred VanVleet,HOU,5.0,G,6-0,197 lbs,Wichita State,USA
Devin Vassell,SAS,24.0,G-F,6-5,200 lbs,Florida State,USA
Gabe Vincent,LAL,7.0,G,6-2,200 lbs,California-Santa Barbara,USA
Nikola Vučević,CHI,9.0,C,6-9,260 lbs,Southern California,Montenegro
Tristan Vukcevic,WAS,0.0,F,7-0,220 lbs,Real Madrid,Italy
Dean Wade,CLE,32.0,F-C,6-9,228 lbs,Kansas State,USA
Franz Wagner,ORL,22.0,F,6-10,220 lbs,Michigan,Germany
Moritz Wagner,ORL,21.0,F-C,6-11,245 lbs,Michigan,Germany
Jabari Walker,PHI,34.0,F,6-7,237 lbs,Colorado,USA
Jarace Walker,IND,5.0,F,6-7,235 lbs,Houston,USA
Cason Wallace,OKC,22.0,G,6-3,195 lbs,Kentucky,USA
Keaton Wallace,ATL,2.0,G,6-3,185 lbs,Texas-San Antonio,USA
Jordan Walsh,BOS,27.0,G,6-6,205 lbs,Arkansas,USA
Ja'Kobe Walter,TOR,14.0,G,6-4,180 lbs,Baylor,USA
Kel'el Ware,MIA,7.0,C,7-0,230 lbs,Indiana,USA
P.J. Washington,DAL,25.0,F,6-7,230 lbs,Kentucky,USA
Lindy Waters III,SAS,43.0,F,6-5,210 lbs,Oklahoma State,USA
Trendon Watford,PHI,12.0,G-F,6-8,237 lbs,Louisiana State,USA
Jamir Watkins,WAS,5.0,F,6-6,210 lbs,Florida State,USA
Peyton Watson,DEN,8.0,G,6-8,200 lbs,UCLA,USA
Jaylen Wells,MEM,0.0,F,6-7,,Washington State,USA
Victor Wembanyama,SAS,1.0,F-C,7-4,235 lbs,Metropolitans 92,France
Blake Wesley,POR,1.0,G,6-4,190 lbs,Notre Dame,USA
Russell Westbrook,SAC,18.0,G,6-4,200 lbs,UCLA,USA
Coby White,CHI,0.0,G,6-4,195 lbs,North Carolina,USA
Derrick White,BOS,9.0,G,6-4,190 lbs,Colorado,USA
Cam Whitmore,WAS,1.0,F,6-6,230 lbs,Villanova,USA
Aaron Wiggins,OKC,21.0,G,6-5,190 lbs,Maryland,USA
Andrew Wiggins,MIA,22.0,F,6-6,197 lbs,Kansas,Canada
Amari Williams,BOS,77.0,F-C,6-11,250 lbs,Kentucky,United Kingdom
Brandon Williams,DAL,10.0,G,6-1,190 lbs,Arizona,USA
Cody Williams,UTA,5.0,F,6-8,190 lbs,Colorado,USA
Grant Williams,CHA,2.0,F,6-7,236 lbs,Tennessee,USA
Jalen Williams,OKC,8.0,G-F,6-5,211 lbs,Santa Clara,USA
Jaylin Williams,OKC,6.0,F,6-9,240 lbs,Arkansas,USA
Kenrich Williams,OKC,34.0,G-F,6-7,210 lbs,TCU,USA
Mark Williams,PHX,15.0,C,7-1,240 lbs,Duke,USA
Patrick Williams,CHI,44.0,F,6-6,215 lbs,Florida State,USA
Ziaire Williams,BKN,1.0,F,6-9,185 lbs,Stanford,USA
Robert Williams III,POR,35.0,C-F,6-9,249 lbs,Texas A&M,USA
Vince Williams Jr.,MEM,5.0,G,6-4,205 lbs,Virginia Commonwealth,USA
Zion Williamson,NOP,1.0,F,6-6,284 lbs,Duke,USA
Jalen Wilson,BKN,22.0,F,6-6,220 lbs,Kansas,USA
Danny Wolf,BKN,2.0,F,6-11,250 lbs,Michigan,USA
Guerschon Yabusele,NYK,28.0,F,6-7,265 lbs,"Rouen, France",France
Yang Hansen,POR,16.0,C,7-1,270 lbs,-,China
Jahmir Young,MIA,11.0,G,6-0,185 lbs,Maryland,USA
Trae Young,ATL,11.0,G,6-2,164 lbs,Oklahoma,USA
Chris Youngblood,OKC,3.0,G,6-4,,Alabama,USA
Rocco Zikarsky,MIN,44.0,C,7-3,227 lbs,-,Australia
Ivica Zubac,LAC,40.0,C,7-0,240 lbs,Mega Basket,Croatia
