player_name,team_code,jersey_number,position,height_feet_inches,weight_pounds,college_name,country_name
Nique Clifford,SAC,5.0,G,6-5,175 lbs,Colorado State,USA
Donovan Clingan,POR,23.0,C,7-2,280 lbs,Connecticut,USA
Noah Clowney,BKN,21.0,F-C,6-10,210 lbs,Alabama,USA
Amir Coffey,MIL,17.0,G-F,6-7,210 lbs,Minnesota,USA
Isaiah Collier,UTA,8.0,G,6-4,210 lbs,Southern California,USA
John Collins,LAC,20.0,F-C,6-9,226 lbs,Wake Forest,USA
Zach Collins,CHI,12.0,F-C,6-9,250 lbs,Gonzaga,USA
Mike Conley,MIN,10.0,G,6-1,175 lbs,Ohio State,USA
Pat Connaughton,CHA,21.0,G,6-5,209 lbs,Notre Dame,USA
Javonte Cooke,POR,18.0,G,6-6,185 lbs,Winston-Salem,USA
Sharife Cooper,WAS,13.0,G,6-0,176 lbs,Auburn,USA
Bilal Coulibaly,WAS,0.0,G,6-7,195 lbs,Metropolitans 92,France
Cedric Coward,MEM,23.0,G,6-5,206 lbs,Washington State,USA
Isaiah Crawford,HOU,27.0,F,6-6,220 lbs,Louisiana Tech,USA
Cade Cunningham,DET,2.0,G,6-6,220 lbs,Oklahoma State,USA
Stephen Curry,GSW,30.0,G,6-2,185 lbs,Davidson,USA
Tristan da Silva,ORL,23.0,F,6-8,217 lbs,Colorado,Germany
Pacôme Dadiet,NYK,4.0,F,6-9,210 lbs,Ratiopharm Ulm,France
Dyson Daniels,ATL,5.0,G,6-7,199 lbs,NBA G League Ignite,Australia
N'Faly Dante,ATL,12.0,C,6-11,230 lbs,Oregon,Mali
Anthony Davis,DAL,3.0,F-C,6-10,253 lbs,Kentucky,USA
JD Davison,HOU,4.0,G,6-1,195 lbs,Alabama,USA
Egor Dëmin,BKN,8.0,G,6-8,200 lbs,Brigham Young,Russia
RayJ Dennis,IND,10.0,G,6-1,180 lbs,Baylor,USA
DeMar DeRozan,SAC,10.0,G-F,6-6,220 lbs,Southern California,USA
Moussa Diabaté,CHA,14.0,F,6-10,210 lbs,Michigan,France
Mohamed Diawara,NYK,51.0,F,6-9,225 lbs,-,France
Gradey Dick,TOR,1.0,G-F,6-7,200 lbs,Kansas,USA
Hunter Dickinson,NOP,4.0,C,7-1,255 lbs,Kansas,USA
Ousmane Dieng,OKC,13.0,F,6-9,185 lbs,New Zealand Breakers,France
Rob Dillingham,MIN,4.0,G,6-2,175 lbs,Kentucky,USA
Donte DiVincenzo,MIN,0.0,G,6-4,203 lbs,Villanova,USA
Luka Dončić,LAL,77.0,F-G,6-8,230 lbs,Real Madrid,Slovenia
Luguentz Dort,OKC,5.0,G,6-4,220 lbs,Arizona State,Canada
